,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms"
,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
89,30108,$810,$820,$930,"$1,130","$1,380"
90,30109,"$1,030","$1,050","$1,190","$1,450","$1,770"
91,30110,$730,$740,$890,"$1,250","$1,500"
92,30111,"$1,390","$1,430","$1,610","$1,960","$2,390"
93,30112,"$1,030","$1,050","$1,190","$1,450","$1,770"
94,30114,"$1,310","$1,340","$1,510","$1,840","$2,240"
95,30115,"$1,450","$1,490","$1,680","$2,040","$2,500"
96,30116,"$1,030","$1,050","$1,190","$1,450","$1,770"
97,30117,$980,"$1,000","$1,130","$1,380","$1,680"
98,30118,"$1,030","$1,050","$1,190","$1,450","$1,770"
99,30119,"$1,030","$1,050","$1,190","$1,450","$1,770"
100,30120,"$1,060","$1,080","$1,220","$1,480","$1,810"
101,30121,"$1,110","$1,130","$1,280","$1,560","$1,900"
102,30122,"$1,290","$1,320","$1,490","$1,810","$2,210"
103,30123,"$1,070","$1,090","$1,230","$1,500","$1,830"
104,30126,"$1,330","$1,360","$1,540","$1,870","$2,290"
105,30127,"$1,520","$1,560","$1,760","$2,140","$2,620"
106,30132,"$1,230","$1,260","$1,420","$1,730","$2,110"
107,30133,"$1,260","$1,280","$1,450","$1,760","$2,160"
108,30134,"$1,160","$1,190","$1,340","$1,630","$1,990"
109,30135,"$1,340","$1,370","$1,550","$1,890","$2,300"
110,30137,$960,$980,"$1,110","$1,350","$1,650"
111,30139,$980,"$1,000","$1,130","$1,380","$1,680"
112,30141,"$1,340","$1,370","$1,550","$1,890","$2,300"
113,30142,"$1,450","$1,480","$1,670","$2,030","$2,480"
114,30143,"$1,030","$1,050","$1,190","$1,450","$1,770"
115,30144,"$1,550","$1,580","$1,790","$2,180","$2,660"
116,30145,$950,$970,"$1,120","$1,390","$1,690"
117,30146,"$1,450","$1,480","$1,670","$2,030","$2,480"
118,30148,"$1,080","$1,110","$1,250","$1,530","$1,860"
119,30150,"$1,030","$1,050","$1,190","$1,450","$1,770"
120,30151,"$1,450","$1,480","$1,670","$2,030","$2,480"
121,30152,"$1,450","$1,480","$1,670","$2,030","$2,480"
122,30153,$930,$950,"$1,090","$1,350","$1,640"
123,30154,"$1,260","$1,280","$1,450","$1,760","$2,160"
124,30156,"$1,390","$1,430","$1,610","$1,960","$2,390"
125,30157,"$1,330","$1,350","$1,530","$1,860","$2,270"
126,30160,"$1,390","$1,430","$1,610","$1,960","$2,390"
127,30161,$680,$690,$900,"$1,170","$1,400"
128,30164,$730,$730,$960,"$1,250","$1,500"
129,30168,"$1,170","$1,200","$1,350","$1,640","$2,010"
130,30169,"$1,450","$1,480","$1,670","$2,030","$2,480"
131,30170,$930,$950,"$1,070","$1,300","$1,590"
132,30171,"$1,140","$1,170","$1,320","$1,610","$1,960"
133,30175,"$1,020","$1,040","$1,180","$1,440","$1,750"
134,30177,$820,$840,$950,"$1,160","$1,410"
135,30178,$870,$890,"$1,000","$1,220","$1,490"
136,30179,"$1,060","$1,080","$1,230","$1,520","$1,860"
137,30180,"$1,240","$1,270","$1,430","$1,740","$2,130"
138,30182,$690,$700,$820,"$1,060","$1,280"
139,30183,"$1,470","$1,510","$1,700","$2,070","$2,530"
140,30184,"$1,000","$1,020","$1,150","$1,400","$1,710"
141,30185,"$1,170","$1,200","$1,350","$1,640","$2,010"
142,30187,"$1,170","$1,200","$1,350","$1,640","$2,010"
143,30188,"$1,550","$1,580","$1,790","$2,180","$2,660"
144,30189,"$1,620","$1,660","$1,870","$2,280","$2,780"
145,30205,"$1,210","$1,240","$1,400","$1,700","$2,070"
